JENIS KOMODITAS/SEKTOR;TICKER;NAMA PT
CPO;DSNG;Dharma Satya Nusantara Tbk PT
CPO;LSIP;Perusahaan Perkebunan London Sumat
CPO;PALM;Provident Investasi Bersama Tbk PT
CPO;SIMP;Salim Ivomas Pratama Tbk PT
CPO;TLDN;Teladan Prima Agro Tbk PT
CPO;NSSS;PT Nusantara Sawit Sejahtera Tbk
CPO;CBUT;PT Citra Borneo Utama Tbk
CPO;TBLA;Tunas Baru Lampung Tbk PT
CPO;SGRO;Sampoerna Agro Tbk PT
CPO;PSGO;Palma Serasih Tbk PT
CPO;PGUN;Pradiksi Gunatama Tbk PT
CPO;JARR;Jhonlin Agro Raya PT Tbk
CPO;ANJT;Austindo Nusantara Jaya Tbk PT
CPO;MGRO;Mahkota Group Tbk PT
CPO;BWPT;Eagle High Plantations Tbk PT
CPO;MKTR;PT Menthobi Karyatama Raya Tbk
CPO;CSRA;Cisadane Sawit Raya Tbk PT
CPO;GUNA;Gunanusa Eramandiri Tbk PT
CPO;GZCO;PT Gozco Plantations Tbk
CPO;UNSP;Bakrie Sumatera Plantations Tbk PT
CPO COCOA;BTEK;Bumi Teknokultura Unggul Tbk PT
CPO COCOA;PTPS;Pulau Subur Tbk PT
CPO;OILS;Indo Oil Perkasa Tbk PT
AMMONIA;ESSA;ESSA Industries Indonesia Tbk PT
PULP & PAPER;INKP;Indah Kiat Pulp & Paper Tbk PT
PULP & PAPER;TKIM;Pabrik Kertas Tjiwi Kimia Tbk PT
PULP & PAPER;SPMA;Suparma Tbk PT
RICE;AISA;FKS Food Sejahtera Tbk PT
RICE;BISI;BISI International Tbk PT
RICE;NASI;Wahana Inti Makmur Tbk PT
RICE;HOKI;Buyung Poetra Sembada Tbk PT
CORN;BISI;BISI International Tbk PT
PORTLAND CEMENT;SMGR;Semen Indonesia (Persero) Tbk PT
PORTLAND CEMENT;SMCB;Solusi Bangun Indonesia Tbk PT
PORTLAND CEMENT;INTP;Indocement Tunggal Prakarsa Tbk P
PORTLAND CEMENT;CMNT;Cemindo Gemilang Tbk PT
PORTLAND CEMENT;SMBR;Semen Baturaja Tbk PT
NAFTA & PET;TPIA;Chandra Asri Pacific PT Tbk
NAFTA & PET;BRPT;Barito Pacific Tbk PT
NAFTA & PET;PBID;Panca Budi Idaman Tbk PT
NAFTA & PET;PDPP;PT Primadaya Plastisindo Tbk
GULA;TBLA;Tunas Baru Lampung Tbk PT
GULA;GULA;Aman Agrindo Tbk PT
GULA;BUDI;Budi Starch & Sweetener Tbk PT
GULA;ICBP;Indofood CBP Sukses Makmur Tbk
